row_index,membership_probability,description,baseline_comparison,proto,service,state,label,attack_cat,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,ct_src_dport_ltm,ct_dst_ltm,ct_dst_src_ltm,tcprtt,synack,ackdat
7,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=mhrp, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,mhrp,-,INT,1,Exploits,9e-06,2,0,200,0,111111.1072,254,0,1,2,2,0.0,0.0,0.0
14,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=vmtp, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,vmtp,-,INT,1,Exploits,9e-06,2,0,200,0,111111.1072,254,0,2,2,4,0.0,0.0,0.0
16,0.0,"strongly source-heavy byte imbalance. Context: protocol=arp, service=-, state=int",sinpkt is higher than clustered baseline; sload is lower than clustered baseline; sttl is lower than clustered baseline,arp,-,INT,0,Normal,0.0,1,0,46,0,0.0,0,0,2,2,2,0.0,0.0,0.0
21,0.0,"unusually high destination TTL; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=http, state=fin",dmean is higher than clustered baseline; dloss is higher than clustered baseline; trans_depth is higher than clustered baseline,tcp,http,FIN,0,Normal,0.868966,30,146,1744,185922,201.388781,62,252,1,1,1,0.07032,0.019777,0.050543
24,0.0,"isolated anomaly outside dense traffic clusters; no single dominant behavioral feature. Context: protocol=tcp, service=http, state=fin",dur is higher than clustered baseline; trans_depth is higher than clustered baseline; sinpkt is higher than clustered baseline,tcp,http,FIN,0,Normal,7.922174,8,10,1052,824,2.145876,31,29,5,13,2,0.000715,0.000574,0.000141
26,0.0,"unusually long-lived connection; unusually high source TTL; unusually high destination TTL. Context: protocol=tcp, service=-, state=fin",dur is higher than clustered baseline; sinpkt is higher than clustered baseline; dinpkt is higher than clustered baseline,tcp,-,FIN,0,Normal,58.814648,20,20,1216,1292,0.6631,254,252,1,1,3,0.11593,0.060964,0.054966
31,0.0,"extremely high destination-byte volume; very high source packet count; very high destination packet count; strongly destination-heavy byte imbalance. Context: protocol=tcp, service=-, state=fin",dur is higher than clustered baseline; dloss is higher than clustered baseline; dmean is higher than clustered baseline,tcp,-,FIN,0,Normal,6.718137,276,512,15740,645754,117.145575,31,29,2,2,6,0.000587,0.000466,0.000121
37,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=ddp, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,ddp,-,INT,1,Exploits,8e-06,2,0,200,0,125000.0003,254,0,1,1,4,0.0,0.0,0.0
44,0.0,"isolated anomaly outside dense traffic clusters; no single dominant behavioral feature. Context: protocol=tcp, service=http, state=fin",trans_depth is higher than clustered baseline; service_http is higher than clustered baseline; response_body_len is higher than clustered baseline,tcp,http,FIN,0,Normal,0.003998,8,10,1052,824,4252.125877,31,29,1,1,1,0.000693,0.000553,0.00014
51,0.0,"unusually high source TTL; strongly source-heavy byte imbalance. Context: protocol=ipv6-no, service=-, state=int",byte_ratio_sd is higher than clustered baseline; state_int is higher than clustered baseline; service_- is higher than clustered baseline,ipv6-no,-,INT,1,DoS,3e-06,2,0,200,0,333333.3215,254,0,2,2,6,0.0,0.0,0.0
